Nmic: 72 	 Nmac: 73 	 Astar: 3.55296 	 Ex: 3.49795e-77
Nmic: 73 	 Nmac: 74 	 Astar: 3.43983 	 Ex: 1.87769e-79
Nmic: 74 	 Nmac: 75 	 Astar: 3.33313 	 Ex: 9.80501e-82
Nmic: 75 	 Nmac: 76 	 Astar: 3.23235 	 Ex: 4.98242e-84
Nmic: 76 	 Nmac: 77 	 Astar: 3.13704 	 Ex: 2.46519e-86
Nmic: 77 	 Nmac: 78 	 Astar: 3.04677 	 Ex: 1.18777e-88
Nmic: 78 	 Nmac: 79 	 Astar: 2.96118 	 Ex: 5.57699e-91
Nmic: 79 	 Nmac: 80 	 Astar: 2.87993 	 Ex: 2.55165e-93
Nmic: 80 	 Nmac: 81 	 Astar: 2.80272 	 Ex: 1.13852e-95
Nmic: 81 	 Nmac: 82 	 Astar: 2.72925 	 Ex: 4.95356e-98
Nmic: 82 	 Nmac: 83 	 Astar: 2.65928 	 Ex: 2.10292e-100
Nmic: 83 	 Nmac: 84 	 Astar: 2.59256 	 Ex: 8.71232e-103
Nmic: 84 	 Nmac: 85 	 Astar: 2.5289 	 Ex: 3.52304e-105
Nmic: 85 	 Nmac: 86 	 Astar: 2.46809 	 Ex: 1.39151e-107
Nmic: 86 	 Nmac: 87 	 Astar: 2.40996 	 Ex: 5.36589e-110
Nmic: 87 	 Nmac: 88 	 Astar: 2.35433 	 Ex: 2.02263e-112
Nmic: 88 	 Nmac: 89 	 Astar: 2.30105 	 Ex: 7.44657e-115
Nmic: 89 	 Nmac: 90 	 Astar: 2.24999 	 Ex: 2.68109e-117
Nmic: 90 	 Nmac: 91 	 Astar: 2.20102 	 Ex: 9.43531e-120
Nmic: 91 	 Nmac: 92 	 Astar: 2.154 	 Ex: 3.24736e-122
Nmic: 92 	 Nmac: 93 	 Astar: 2.10884 	 Ex: 1.09359e-124
Nmic: 93 	 Nmac: 94 	 Astar: 2.06543 	 Ex: 3.60104e-127
Nmic: 94 	 Nmac: 95 	 Astar: 2.02367 	 Ex: 1.16144e-129
Nmic: 95 	 Nmac: 96 	 Astar: 1.98347 	 Ex: 3.66305e-132
Nmic: 96 	 Nmac: 97 	 Astar: 1.94475 	 Ex: 1.13209e-134
Nmic: 97 	 Nmac: 98 	 Astar: 1.90744 	 Ex: 3.42409e-137
Nmic: 98 	 Nmac: 99 	 Astar: 1.87145 	 Ex: 1.01448e-139
Nmic: 99 	 Nmac: 100 	 Astar: 1.83673 	 Ex: 2.94576e-142
Nmic: 100 	 Nmac: 101 	 Astar: 1.80321 	 Ex: 8.3726e-145
